City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,Norman Wells,65.282,-126.8329,-2.22,97,100,5.06,CA,2021-12-11 06:05:26
306,Basco,20.4487,121.9702,76.26,71,99,28.27,PH,2021-12-11 06:05:27
307,Westport,41.1415,-73.3579,46.98,87,90,5.01,US,2021-12-11 06:02:55
308,Nioro,13.35,-15.75,71.1,48,85,1.28,GM,2021-12-11 06:05:27
309,Nagua,19.3832,-69.8474,71.46,87,11,5.86,DO,2021-12-11 06:05:28
310,Camacha,33.0833,-16.3333,62.02,59,75,11.5,PT,2021-12-11 06:05:28
311,Lebu,-37.6167,-73.65,55.45,88,95,5.17,CL,2021-12-11 06:01:14
312,Fukue,32.6881,128.8419,58.21,68,100,10.29,JP,2021-12-11 06:05:29
313,Jinan,36.6683,116.9972,48.97,71,100,3.31,CN,2021-12-11 06:05:29
314,Jalu,29.0331,21.5482,51.78,73,34,1.43,LY,2021-12-11 06:05:29
315,Hamilton,39.1834,-84.5333,64.58,95,100,5.99,US,2021-12-11 06:01:35
316,Kashira,54.8444,38.1669,-2.58,94,79,7.7,RU,2021-12-11 06:05:30
317,Kadyy,57.787,43.1903,0.61,98,57,3.38,RU,2021-12-11 06:05:30
318,Shimoda,34.6667,138.95,53.1,70,43,2.37,JP,2021-12-11 06:05:30
319,Opuwo,-18.0607,13.84,74.35,57,58,4.92,NA,2021-12-11 06:06:31
320,Adre,13.4667,22.2,66.09,30,5,12.33,TD,2021-12-11 06:06:31
321,Asau,46.4333,26.4,37.76,82,78,3.15,RO,2021-12-11 06:06:32
322,Heidelberg,-26.5048,28.3592,74.62,61,96,6.31,ZA,2021-12-11 06:06:32
323,Simoes,-7.5989,-40.8178,78.4,60,97,6.24,BR,2021-12-11 06:06:33
324,Aloleng,16.1307,119.7824,84.33,60,98,9.73,PH,2021-12-11 06:06:33
325,Buala,-8.145,159.5921,79.59,88,99,3.44,SB,2021-12-11 06:06:33
326,Alyangula,-13.8483,136.4192,91.53,41,87,8.1,AU,2021-12-11 06:06:34
327,Praya,14.9215,-23.5087,71.76,75,96,14.67,CV,2021-12-11 06:06:34
328,Touros,-5.1989,-35.4608,79.7,78,41,10.85,BR,2021-12-11 06:06:02
329,Prestea,5.4327,-2.1428,73.9,93,29,0.92,GH,2021-12-11 06:06:35
330,Changji,44.0167,87.3167,11.19,79,75,2.24,CN,2021-12-11 06:06:35
331,Kawakawa,-35.3833,174.0667,71.15,78,84,7.29,NZ,2021-12-11 06:06:36
